fixed_name,region,ambiguousRegion
Viipuri,karelia,1
Muolaa,karelia,1
Uusikirkko,karelia,1
Jaakkima,karelia,1
Salmi,karelia,1
Antreassa,karelia,1
Kivennapa,karelia,1
Koivisto,karelia,1
Viipurin mlk,karelia,0
Impilahti,karelia,1
Sortavalan mlk,karelia,0
Jääski,karelia,1
Säkkijärvi,karelia,1
Kirvu,karelia,1
Kurkijoki,karelia,1
Pyhäjärvi,karelia,1
Sortavala,karelia,1
Räisälä,karelia,1
Johannes,karelia,1
Hiitola,karelia,1
Suojärvi,karelia,1
Sakkola,karelia,1
Kuolemajärvi,karelia,0
Suistamo,karelia,1
Metsäpirtti,karelia,0
Valkjärvi,karelia,1
Rautu,karelia,1
Ruskeala,karelia,1
Heinjoki,karelia,1
Terijoki,karelia,1
Valkjärvi,karelia,1
Kaukola,karelia,1
Helsinlg,other,0
Harlu,karelia,1
Vahviala,karelia,1
Kanneljärvi,karelia,1
Käkisalmi,karelia,1
Uukuniemi,karelia,1
Vuoksela,karelia,1
Soanlahti,karelia,1
Lumivaara,karelia,1
Parikkala,other,1
Äyräpää,karelia,1
Pälkjärvi,karelia,1
Vuoksenranta,karelia,1
Lappee,karelia,1
Turun,other,0
Ruokolahti,other,1
Korpiselkä,karelia,1
Virolahti,other,1
Kitee,other,1
Tampere,other,0
Pietari,other,1
Nuijamaa,other,1
Lavansaari,karelia,0
Rautjärvi,karelia,1
Seiskari,karelia,1
Kuopio,other,1
Valkeala,other,1
Käkisalmen mlk,karelia,0
Pielisjärvi,other,1
Jämsä,other,0
Liperi,other,1
Joutseno,other,1
Kymin,other,0
Inkeri,russia,1
Kotka,other,1
Vehkalahti,other,1
Lahden,other,0
Luumäellä,other,0
Värtsilä,karelia,1
Iitti,other,0
Urjala,other,0
Pori,other,1
Ilomantsi,other,1
Jyväskylä,other,1
Leppävirta,other,0
Sääminki,other,1
Lappeenranta,other,1
